time_ns,winc,rinc,wFull,rEmpty,wHalfFull,rHalfEmpty,wData,rData
4290,0,1,0,0,1,0,62,135
4296,0,1,0,0,1,0,20,135
4300,0,0,0,0,1,0,20,135
4308,0,0,0,0,1,0,160,135
4320,0,1,0,0,1,0,65,135
4330,0,1,0,0,1,0,65,51
4332,1,1,0,0,1,0,175,51
4344,1,1,0,0,1,0,67,51
4350,1,1,0,0,1,0,67,6
4356,0,1,0,0,1,0,166,6
4368,1,1,0,0,1,0,135,6
4370,1,1,0,0,1,0,135,70
4380,0,0,0,0,1,0,255,70
4392,1,0,0,0,1,0,204,70
4404,1,0,0,0,1,0,142,70
4416,0,0,0,0,1,0,133,70
4420,0,1,0,0,1,0,133,70
4428,0,1,0,0,1,0,97,70
4430,0,1,0,0,1,0,97,119
4440,1,0,0,0,1,0,226,119
4452,0,0,0,0,1,0,213,119
4460,0,1,0,0,1,0,213,119
4464,0,1,0,0,1,0,89,119
4470,0,1,0,0,1,0,89,63
4476,1,1,0,0,1,0,109,63
4488,0,1,0,0,1,0,41,63
4490,0,1,0,0,1,0,41,109
4500,1,0,0,0,1,0,34,109
4512,1,0,0,0,1,0,246,109
4520,1,1,0,0,1,0,246,109
4524,1,1,0,0,1,0,155,109
4530,1,1,0,0,1,0,155,15
4536,0,1,0,0,1,0,36,15
4548,0,1,0,0,1,0,135,15
4550,0,1,0,0,1,0,135,12
4560,1,0,0,0,1,0,109,12
4572,1,0,0,0,1,0,86,12
4584,1,0,0,0,1,0,216,12
4596,0,0,0,0,1,0,70,12
4600,0,1,0,0,1,0,70,12
4608,0,1,0,0,1,0,102,12
4610,0,1,0,0,1,0,102,143
4620,1,1,0,0,1,0,72,143
4630,1,1,0,0,1,0,72,120
4632,0,1,0,0,1,0,145,120
4640,0,0,0,0,1,0,145,120
4644,1,0,0,0,1,0,145,120
4656,0,0,0,0,1,0,121,120
4668,1,0,0,0,1,0,70,120
4680,1,1,0,0,1,0,227,120
4690,1,1,0,0,1,0,227,128
4692,1,1,0,0,1,0,78,128
4704,0,1,0,0,1,0,23,128
4710,0,1,0,0,1,0,23,10
4716,0,1,0,0,1,0,2,10
4728,1,1,0,0,1,0,121,10
4730,1,1,0,0,1,0,121,109
4740,1,0,0,0,1,0,8,109
4752,0,0,0,0,1,0,172,109
4764,1,0,0,0,1,0,212,109
4776,1,0,0,0,1,0,140,109
4780,1,1,0,0,1,0,140,109
4782,1,1,1,0,1,0,140,109
4788,1,1,1,0,1,0,135,109
4790,1,1,1,0,1,0,135,232
4800,1,1,1,0,1,0,74,232
4810,1,1,1,0,1,0,74,199
4812,1,1,1,0,1,0,208,199
4818,1,1,0,0,1,0,208,199
4824,1,1,0,0,1,0,10,199
4830,1,1,1,0,1,0,10,45
4836,1,1,1,0,1,0,220,45
4840,1,0,1,0,1,0,220,45
4842,1,0,0,0,1,0,220,45
4848,1,0,0,0,1,0,68,45
4854,1,0,1,0,1,0,68,45
4860,0,0,1,0,1,0,177,45
4866,0,0,0,0,1,0,177,45
4872,1,0,0,0,1,0,172,45
4878,1,0,1,0,1,0,172,45
4884,0,0,1,0,1,0,109,45
4896,1,0,1,0,1,0,254,45
4908,1,0,1,0,1,0,68,45
4920,0,0,1,0,1,0,227,45
4932,0,0,1,0,1,0,37,45
4940,0,1,1,0,1,0,37,45
4944,0,1,1,0,1,0,85,45
