time_ns,wclk,rclk,wptr_dec,rptr_dec,wen,ren,wFull,wHalfFull,rEmpty,rHalfEmpty
1470,1,1,64,16,0,1,0,1,0,0
1475,0,1,64,16,0,1,0,1,0,0
1480,0,0,64,16,0,1,0,1,0,0
1481.25,1,0,64,16,0,1,0,1,0,0
1487.5,0,0,64,16,0,1,0,1,0,0
1490,0,1,64,17,0,1,0,1,0,0
1493.75,1,1,64,17,0,1,0,1,0,0
1500,0,0,64,17,0,1,0,1,0,0
1506.25,1,0,64,17,0,1,0,1,0,0
1510,1,1,64,18,0,1,0,1,0,0
1512.5,0,1,64,18,0,1,0,1,0,0
1518.75,1,1,64,18,0,1,0,1,0,0
1520,1,0,64,18,0,1,0,1,0,0
1525,0,0,64,18,0,1,0,1,0,0
1530,0,1,64,19,0,1,0,1,0,0
1531.25,1,1,64,19,0,1,0,1,0,0
1537.5,0,1,64,19,0,1,0,1,0,0
1540,0,0,64,19,0,1,0,1,0,0
1543.75,1,0,64,19,0,1,0,1,0,0
1550,0,1,64,20,0,1,0,1,0,0
1556.25,1,1,64,20,0,1,0,1,0,0
1560,1,0,64,20,0,1,0,1,0,0
1562.5,0,0,64,20,0,1,0,1,0,0
1568.75,1,0,64,20,0,1,0,1,0,0
1570,1,1,64,21,0,1,0,1,0,0
1575,0,1,64,21,0,1,0,1,0,0
1580,0,0,64,21,0,1,0,1,0,0
1581.25,1,0,64,21,0,1,0,1,0,0
1587.5,0,0,64,21,0,1,0,1,0,0
1590,0,1,64,22,0,1,0,1,0,0
1593.75,1,1,64,22,0,1,0,1,0,0
1600,0,0,64,22,0,1,0,1,0,0
1606.25,1,0,64,22,0,1,0,1,0,0
1610,1,1,64,23,0,1,0,1,0,0
1612.5,0,1,64,23,0,1,0,1,0,0
1618.75,1,1,64,23,0,1,0,1,0,0
1620,1,0,64,23,0,1,0,1,0,0
1625,0,0,64,23,0,1,0,1,0,0
1630,0,1,64,24,0,1,0,1,0,0
1631.25,1,1,64,24,0,1,0,1,0,0
1637.5,0,1,64,24,0,1,0,1,0,0
1640,0,0,64,24,0,1,0,1,0,0
1643.75,1,0,64,24,0,1,0,1,0,0
1650,0,1,64,25,0,1,0,1,0,0
1656.25,1,1,64,25,0,1,0,1,0,0
1660,1,0,64,25,0,1,0,1,0,0
1662.5,0,0,64,25,0,1,0,1,0,0
1668.75,1,0,64,25,0,1,0,1,0,0
1670,1,1,64,26,0,1,0,1,0,0
1675,0,1,64,26,0,1,0,1,0,0
1680,0,0,64,26,0,1,0,1,0,0
1681.25,1,0,64,26,0,1,0,1,0,0
1687.5,0,0,64,26,0,1,0,1,0,0
1690,0,1,64,27,0,1,0,1,0,0
1693.75,1,1,64,27,0,1,0,1,0,0
1700,0,0,64,27,0,1,0,1,0,0
1706.25,1,0,64,27,0,1,0,1,0,0
1710,1,1,64,28,0,1,0,1,0,0
1712.5,0,1,64,28,0,1,0,1,0,0
1718.75,1,1,64,28,0,1,0,1,0,0
1720,1,0,64,28,0,1,0,1,0,0
1725,0,0,64,28,0,1,0,1,0,0
1730,0,1,64,29,0,1,0,1,0,0
1731.25,1,1,64,29,0,1,0,1,0,0
1737.5,0,1,64,29,0,1,0,1,0,0
1740,0,0,64,29,0,1,0,1,0,0
1743.75,1,0,64,29,0,1,0,1,0,0
1750,0,1,64,30,0,1,0,1,0,0
1756.25,1,1,64,30,0,1,0,1,0,0
1760,1,0,64,30,0,1,0,1,0,0
1762.5,0,0,64,30,0,1,0,1,0,0
1768.75,1,0,64,30,0,1,0,1,0,0
1770,1,1,64,31,0,1,0,1,0,0
1775,0,1,64,31,0,1,0,1,0,0
1780,0,0,64,31,0,1,0,1,0,0
1781.25,1,0,64,31,0,1,0,1,0,0
1787.5,0,0,64,31,0,1,0,1,0,0
1790,0,1,64,32,0,1,0,1,0,1
1793.75,1,1,64,32,0,1,0,1,0,1
1800,0,0,64,32,0,0,0,1,0,1
1806.25,1,0,64,32,0,0,0,1,0,1
1810,1,1,64,32,0,0,0,1,0,1
1812.5,0,1,64,32,0,0,0,1,0,1
1818.75,1,1,64,32,0,0,0,1,0,1
1820,1,0,64,32,0,1,0,1,0,1
1825,0,0,64,32,0,1,0,1,0,1
1830,0,1,64,33,0,1,0,1,0,1
1831.25,1,1,64,33,0,1,0,1,0,1
1837.5,0,1,64,33,0,1,0,1,0,1
1840,0,0,64,33,0,1,0,1,0,1
1843.75,1,0,64,33,0,1,0,1,0,1
1850,0,1,64,34,0,1,0,1,0,1
1856.25,1,1,64,34,0,1,0,0,0,1
1860,1,0,64,34,0,1,0,0,0,1
1862.5,0,0,64,34,0,1,0,0,0,1
1868.75,1,0,64,34,0,1,0,0,0,1
1870,1,1,64,35,0,1,0,0,0,1
1875,0,1,64,35,0,1,0,0,0,1
1880,0,0,64,35,0,1,0,0,0,1
1881.25,1,0,64,35,0,1,0,0,0,1
1887.5,0,0,64,35,0,1,0,0,0,1
1890,0,1,64,36,0,1,0,0,0,1
1893.75,1,1,64,36,0,1,0,0,0,1
1900,0,0,64,36,0,1,0,0,0,1
1906.25,1,0,64,36,0,1,0,0,0,1
1910,1,1,64,37,0,1,0,0,0,1
1912.5,0,1,64,37,0,1,0,0,0,1
1918.75,1,1,64,37,0,1,0,0,0,1
1920,1,0,64,37,0,1,0,0,0,1
1925,0,0,64,37,0,1,0,0,0,1
1930,0,1,64,38,0,1,0,0,0,1
1931.25,1,1,64,38,0,1,0,0,0,1
1937.5,0,1,64,38,0,1,0,0,0,1
1940,0,0,64,38,0,1,0,0,0,1
1943.75,1,0,64,38,0,1,0,0,0,1
1950,0,1,64,39,0,1,0,0,0,1
1956.25,1,1,64,39,0,1,0,0,0,1
1960,1,0,64,39,0,1,0,0,0,1
1962.5,0,0,64,39,0,1,0,0,0,1
1968.75,1,0,64,39,0,1,0,0,0,1
1970,1,1,64,40,0,1,0,0,0,1
1975,0,1,64,40,0,1,0,0,0,1
1980,0,0,64,40,0,1,0,0,0,1
1981.25,1,0,64,40,0,1,0,0,0,1
1987.5,0,0,64,40,0,1,0,0,0,1
1990,0,1,64,41,0,1,0,0,0,1
1993.75,1,1,64,41,0,1,0,0,0,1
2000,0,0,64,41,0,1,0,0,0,1
2006.25,1,0,64,41,0,1,0,0,0,1
2010,1,1,64,42,0,1,0,0,0,1
2012.5,0,1,64,42,0,1,0,0,0,1
2018.75,1,1,64,42,0,1,0,0,0,1
2020,1,0,64,42,0,1,0,0,0,1
2025,0,0,64,42,0,1,0,0,0,1
2030,0,1,64,43,0,1,0,0,0,1
2031.25,1,1,64,43,0,1,0,0,0,1
2037.5,0,1,64,43,0,1,0,0,0,1
2040,0,0,64,43,0,1,0,0,0,1
2043.75,1,0,64,43,0,1,0,0,0,1
2050,0,1,64,44,0,1,0,0,0,1
2056.25,1,1,64,44,0,1,0,0,0,1
2060,1,0,64,44,0,1,0,0,0,1
2062.5,0,0,64,44,0,1,0,0,0,1
2068.75,1,0,64,44,0,1,0,0,0,1
2070,1,1,64,45,0,1,0,0,0,1
2075,0,1,64,45,0,1,0,0,0,1
2080,0,0,64,45,0,1,0,0,0,1
2081.25,1,0,64,45,0,1,0,0,0,1
2087.5,0,0,64,45,0,1,0,0,0,1
2090,0,1,64,46,0,1,0,0,0,1
2093.75,1,1,64,46,0,1,0,0,0,1
2100,0,0,64,46,0,1,0,0,0,1
2106.25,1,0,64,46,0,1,0,0,0,1
2110,1,1,64,47,0,1,0,0,0,1
2112.5,0,1,64,47,0,1,0,0,0,1
2118.75,1,1,64,47,0,1,0,0,0,1
2120,1,0,64,47,0,1,0,0,0,1
2125,0,0,64,47,0,1,0,0,0,1
2130,0,1,64,48,0,1,0,0,0,1
2131.25,1,1,64,48,0,1,0,0,0,1
2137.5,0,1,64,48,0,1,0,0,0,1
2140,0,0,64,48,0,1,0,0,0,1
2143.75,1,0,64,48,0,1,0,0,0,1
2150,0,1,64,49,0,1,0,0,0,1
2156.25,1,1,64,49,0,1,0,0,0,1
2160,1,0,64,49,0,1,0,0,0,1
2162.5,0,0,64,49,0,1,0,0,0,1
2168.75,1,0,64,49,0,1,0,0,0,1
2170,1,1,64,50,0,1,0,0,0,1
2175,0,1,64,50,0,1,0,0,0,1
2180,0,0,64,50,0,1,0,0,0,1
2181.25,1,0,64,50,0,1,0,0,0,1
2187.5,0,0,64,50,0,1,0,0,0,1
2190,0,1,64,51,0,1,0,0,0,1
2193.75,1,1,64,51,0,1,0,0,0,1
2200,0,0,64,51,0,1,0,0,0,1
2206.25,1,0,64,51,0,1,0,0,0,1
2210,1,1,64,52,0,1,0,0,0,1
2212.5,0,1,64,52,0,1,0,0,0,1
2218.75,1,1,64,52,0,1,0,0,0,1
2220,1,0,64,52,0,1,0,0,0,1
2225,0,0,64,52,0,1,0,0,0,1
2230,0,1,64,53,0,1,0,0,0,1
2231.25,1,1,64,53,0,1,0,0,0,1
2237.5,0,1,64,53,0,1,0,0,0,1
2240,0,0,64,53,0,1,0,0,0,1
2243.75,1,0,64,53,0,1,0,0,0,1
2250,0,1,64,54,0,1,0,0,0,1
2256.25,1,1,64,54,0,1,0,0,0,1
2260,1,0,64,54,0,1,0,0,0,1
2262.5,0,0,64,54,0,1,0,0,0,1
2268.75,1,0,64,54,0,1,0,0,0,1
2270,1,1,64,55,0,1,0,0,0,1
2275,0,1,64,55,0,1,0,0,0,1
2280,0,0,64,55,0,1,0,0,0,1
