time_ns,wclk,rclk,w_en,r_en,full,empty,half_full,half_empty,data_in,data_out
1411,1,1,0,0,0,0,1,0,131,79
1412.5,0,1,0,0,0,0,1,0,131,79
1418.75,1,1,0,0,0,0,1,0,131,79
1420,1,0,0,1,0,0,1,0,131,79
1425,0,0,0,1,0,0,1,0,131,79
1430,0,1,0,1,0,0,1,0,131,80
1431,0,1,0,0,0,0,1,0,131,80
1431.25,1,1,0,0,0,0,1,0,131,80
1437.5,0,1,0,0,0,0,1,0,131,80
1440,0,0,0,1,0,0,1,0,131,80
1443.75,1,0,0,1,0,0,1,0,131,80
1450,0,1,0,1,0,0,1,0,131,81
1451,0,1,0,0,0,0,1,0,131,81
1456.25,1,1,0,0,0,0,1,0,131,81
1460,1,0,0,1,0,0,1,0,131,81
1462.5,0,0,0,1,0,0,1,0,131,81
1468.75,1,0,0,1,0,0,1,0,131,81
1470,1,1,0,1,0,0,1,0,131,82
1471,1,1,0,0,0,0,1,0,131,82
1475,0,1,0,0,0,0,1,0,131,82
1480,0,0,0,1,0,0,1,0,131,82
1481.25,1,0,0,1,0,0,1,0,131,82
1487.5,0,0,0,1,0,0,1,0,131,82
1490,0,1,0,1,0,0,1,0,131,83
1491,0,1,0,0,0,0,1,0,131,83
1493.75,1,1,0,0,0,0,1,0,131,83
1500,0,0,0,1,0,0,1,0,131,83
1506.25,1,0,0,1,0,0,1,0,131,83
1510,1,1,0,1,0,0,1,0,131,84
1511,1,1,0,0,0,0,1,0,131,84
1512.5,0,1,0,0,0,0,1,0,131,84
1518.75,1,1,0,0,0,0,1,0,131,84
1520,1,0,0,1,0,0,1,0,131,84
1525,0,0,0,1,0,0,1,0,131,84
1530,0,1,0,1,0,0,1,0,131,85
1531,0,1,0,0,0,0,1,0,131,85
1531.25,1,1,0,0,0,0,1,0,131,85
1537.5,0,1,0,0,0,0,1,0,131,85
1540,0,0,0,1,0,0,1,0,131,85
1543.75,1,0,0,1,0,0,1,0,131,85
1550,0,1,0,1,0,0,1,0,131,86
1551,0,1,0,0,0,0,1,0,131,86
1556.25,1,1,0,0,0,0,1,0,131,86
1560,1,0,0,1,0,0,1,0,131,86
1562.5,0,0,0,1,0,0,1,0,131,86
1568.75,1,0,0,1,0,0,1,0,131,86
1570,1,1,0,1,0,0,1,0,131,87
1571,1,1,0,0,0,0,1,0,131,87
1575,0,1,0,0,0,0,1,0,131,87
1580,0,0,0,1,0,0,1,0,131,87
1581.25,1,0,0,1,0,0,1,0,131,87
1587.5,0,0,0,1,0,0,1,0,131,87
1590,0,1,0,1,0,0,1,0,131,88
1591,0,1,0,0,0,0,1,0,131,88
1593.75,1,1,0,0,0,0,1,0,131,88
1600,0,0,0,1,0,0,1,0,131,88
1606.25,1,0,0,1,0,0,1,0,131,88
1610,1,1,0,1,0,0,1,0,131,89
1611,1,1,0,0,0,0,1,0,131,89
1612.5,0,1,0,0,0,0,1,0,131,89
1618.75,1,1,0,0,0,0,1,0,131,89
1620,1,0,0,1,0,0,1,0,131,89
1625,0,0,0,1,0,0,1,0,131,89
1630,0,1,0,1,0,0,1,0,131,90
1631,0,1,0,0,0,0,1,0,131,90
1631.25,1,1,0,0,0,0,1,0,131,90
1637.5,0,1,0,0,0,0,1,0,131,90
1640,0,0,0,1,0,0,1,0,131,90
1643.75,1,0,0,1,0,0,1,0,131,90
1650,0,1,0,1,0,0,1,0,131,91
1651,0,1,0,0,0,0,1,0,131,91
1656.25,1,1,0,0,0,0,1,0,131,91
1660,1,0,0,1,0,0,1,0,131,91
1662.5,0,0,0,1,0,0,1,0,131,91
1668.75,1,0,0,1,0,0,1,0,131,91
1670,1,1,0,1,0,0,1,0,131,92
1671,1,1,0,0,0,0,1,0,131,92
1675,0,1,0,0,0,0,1,0,131,92
1680,0,0,0,1,0,0,1,0,131,92
1681.25,1,0,0,1,0,0,1,0,131,92
1687.5,0,0,0,1,0,0,1,0,131,92
1690,0,1,0,1,0,0,1,0,131,93
1691,0,1,0,0,0,0,1,0,131,93
1693.75,1,1,0,0,0,0,1,0,131,93
1700,0,0,0,1,0,0,1,0,131,93
1706.25,1,0,0,1,0,0,1,0,131,93
1710,1,1,0,1,0,0,1,0,131,94
1711,1,1,0,0,0,0,1,0,131,94
1712.5,0,1,0,0,0,0,1,0,131,94
1718.75,1,1,0,0,0,0,1,0,131,94
1720,1,0,0,1,0,0,1,0,131,94
1725,0,0,0,1,0,0,1,0,131,94
1730,0,1,0,1,0,0,1,0,131,95
1731,0,1,0,0,0,0,1,0,131,95
1731.25,1,1,0,0,0,0,1,0,131,95
1737.5,0,1,0,0,0,0,1,0,131,95
1740,0,0,0,1,0,0,1,0,131,95
1743.75,1,0,0,1,0,0,1,0,131,95
1750,0,1,0,1,0,0,1,1,131,96
1751,0,1,0,0,0,0,1,1,131,96
1756.25,1,1,0,0,0,0,1,1,131,96
1760,1,0,0,0,0,0,1,1,131,96
1762.5,0,0,0,0,0,0,1,1,131,96
1768.75,1,0,0,0,0,0,1,1,131,96
1770,1,1,0,0,0,0,1,1,131,96
1775,0,1,0,0,0,0,1,1,131,96
1780,0,0,0,0,0,0,1,1,131,96
1781.25,1,0,0,0,0,0,1,1,131,96
1787.5,0,0,0,0,0,0,1,1,131,96
1790,0,1,0,0,0,0,1,1,131,96
1793.75,1,1,0,0,0,0,1,1,131,96
1800,0,0,0,0,0,0,1,1,131,96
1806.25,1,0,0,0,0,0,1,1,131,96
1810,1,1,0,0,0,0,1,1,131,96
1812.5,0,1,0,0,0,0,1,1,131,96
1818.75,1,1,0,0,0,0,1,1,131,96
1820,1,0,0,0,0,0,1,1,131,96
1825,0,0,1,0,0,0,1,1,160,96
1830,0,1,1,0,0,0,1,1,160,96
1831.25,1,1,1,0,0,0,1,1,160,96
1832.25,1,1,0,0,0,0,1,1,160,96
1837.5,0,1,1,0,0,0,1,1,161,96
1840,0,0,1,0,0,0,1,1,161,96
1843.75,1,0,1,0,0,0,1,1,161,96
1844.75,1,0,0,0,0,0,1,1,161,96
1850,0,1,1,0,0,0,1,1,162,96
1856.25,1,1,1,0,0,0,1,1,162,96
1857.25,1,1,0,0,0,0,1,1,162,96
1860,1,0,0,0,0,0,1,1,162,96
1862.5,0,0,1,0,0,0,1,1,163,96
1868.75,1,0,1,0,0,0,1,1,163,96
1869.75,1,0,0,0,0,0,1,1,163,96
1870,1,1,0,0,0,0,1,1,163,96
1875,0,1,1,0,0,0,1,1,164,96
1880,0,0,1,0,0,0,1,1,164,96
1881.25,1,0,1,0,0,0,1,1,164,96
1882.25,1,0,0,0,0,0,1,1,164,96
1887.5,0,0,1,0,0,0,1,1,165,96
1890,0,1,1,0,0,0,1,0,165,96
1893.75,1,1,1,0,0,0,1,0,165,96
1894.75,1,1,0,0,0,0,1,0,165,96
1900,0,0,1,0,0,0,1,0,166,96
1906.25,1,0,1,0,0,0,1,0,166,96
1907.25,1,0,0,0,0,0,1,0,166,96
1910,1,1,0,0,0,0,1,0,166,96
1912.5,0,1,1,0,0,0,1,0,167,96
1918.75,1,1,1,0,0,0,1,0,167,96
1919.75,1,1,0,0,0,0,1,0,167,96
1920,1,0,0,0,0,0,1,0,167,96
1925,0,0,1,0,0,0,1,0,168,96
1930,0,1,1,0,0,0,1,0,168,96
1931.25,1,1,1,0,0,0,1,0,168,96
1932.25,1,1,0,0,0,0,1,0,168,96
1937.5,0,1,1,0,0,0,1,0,169,96
1940,0,0,1,0,0,0,1,0,169,96
1943.75,1,0,1,0,0,0,1,0,169,96
1944.75,1,0,0,0,0,0,1,0,169,96
1950,0,1,1,0,0,0,1,0,170,96
1956.25,1,1,1,0,0,0,1,0,170,96
1957.25,1,1,0,0,0,0,1,0,170,96
1960,1,0,0,0,0,0,1,0,170,96
1962.5,0,0,1,0,0,0,1,0,171,96
1968.75,1,0,1,0,0,0,1,0,171,96
